X,Y,OBJECTID,project,Farm,Lat,Long,Depth,Depthcode,pH,N,OC,P,Ca,Mg,K,Na,Zn,Cu,Mn,Fe
7.81666700000005,8.86666700000006,1380,National survey,Isiaka Adamu,8.866667,7.816667,0-15 cm,1,6.18,0.018174,0.098136,8.003661,719.9866,86.97372,116.399136,40.45309,0,0,0,0
8.56266700000003,8.29166700000007,1381,National survey,Akarga,8.291667,8.562667,15-30 cm,2,6.375,0.0985,0.82,3.36,875,166.8,543.49,175.95,0,0,0,0
7.32500000000005,8.46600000000007,1382,National survey,Munji,8.466,7.325,0-15 cm,1,5.69,0.099,1.8,4.1,306,770.4,15.64,78.2,0,0,0,0
7.20083300000005,8.00194400000004,1383,National survey,Umaisha,8.001944,7.200833,15-30 cm,2,6.1,0.099,1.7,4.8,272,600,15.64,50.6,0,0,0,0
8.05000000000007,6.50000000000006,1384,National survey,John Iketu,6.5,8.05,15-30 cm,2,6.6,0.009785,0.09952,7.432063,340.7592,38.619,49.979966,40.02644,0,0,0,0
7.80873300000007,8.67966700000005,1385,National survey,Laminga,8.679667,7.808733,0-15 cm,1,5.055,0.1,0.745,3.495,759,203.4,240.465,156.4,0,0,0,0
7.02333900000002,6.79212200000006,1386,National survey,Dulugha,6.792122,7.023339,30-60 cm,3,5.3,0.100202,1.02939,19.429998,108.1986,21.59964,47.106507,54.58084,0,0,0,0
7.02535700000004,6.79194200000006,1387,National survey,Dulugha,6.791942,7.025357,15-30 cm,2,4.73,0.100273,1.124329,2.600168,159.337,35.57472,39.474578,61.37228,0,0,0,0
9.05646700000005,7.45726700000006,1388,National survey,Zaki-biam-ukum LGA,7.457267,9.056467,0-15 cm,1,6.35,0.101,0.9,4.4,1168,234,1090.89,236.9,0,0,0,0
7.88405000000006,7.67913300000004,1389,National survey,Ugbokpo (town),7.679133,7.88405,0-15 cm,1,5.3,0.101,0.69,4.5,702,140.4,1474.07,372.6,0,0,0,0
8.05000000000007,6.36666700000006,1390,National survey,Nwangeni Obasi,6.366667,8.05,15-30 cm,2,6.56,0.031783,0.101319,3.237712,540.0144,128.96592,83.189551,40.50852,0,0,0,0
7.02572900000007,6.79092100000003,1391,National survey,Dulugha,6.790921,7.025729,15-30 cm,2,5.03,0.101369,1.193973,2.57016,176.6822,33.74256,50.828827,115.8395,0,0,0,0
